number,zip,"lat,long",city,pop
293,38570,"36.382270, -85.313517","Livingston, Tennessee","9,690"
294,37187,"36.144149, -87.197891","White Bluff, Tennessee","5,687"
295,38355,"35.773087, -88.759597","Medina, Tennessee","2,517"
296,38544,"36.109472, -85.656503","Baxter, Tennessee","5,908"
297,38320,"36.052072, -88.116701","Camden, Tennessee","10,842"
298,37090,"36.111740, -86.299189","Lebanon, Tennessee","11,896"
299,38351,"35.670883, -88.399499","Lexington, Tennessee","16,176"
300,37387,"35.295664, -85.758745","Tracy City, Tennessee","3,965"
301,37843,"36.012411, -83.047891","Parrottsville, Tennessee","3,121"
302,37861,"36.240743, -83.513713","Rutledge, Tennessee","7,123"
303,38579,"35.827774, -85.550783","Quebeck, Tennessee","1,054"
304,37362,"35.040963, -84.738207","Oldfort, Tennessee","2,776"
305,38201,"36.125312, -88.528535","Mc Kenzie, Tennessee","9,773"
306,38317,"36.057937, -88.263813","Bruceton, Tennessee","2,692"
307,38001,"35.816186, -89.149391","Alamo, Tennessee","4,456"
308,38478,"35.210923, -87.010869","Pulaski, Tennessee","17,903"
309,38563,"36.229735, -86.049263","Gordonsville, Tennessee","1,858"
310,38363,"35.685853, -88.100268","Parsons, Tennessee","5,857"
311,38008,"35.247215, -89.001822","Bolivar, Tennessee","10,579"
312,37326,"35.032250, -84.377420","Ducktown, Tennessee",625
313,37034,"35.641822, -86.692242","Chapel Hill, Tennessee","4,907"
314,37031,"36.366154, -86.292718","Castalian Springs, Tennessee","2,716"
315,37370,"35.357756, -84.695738","Riceville, Tennessee","3,911"
316,38559,"35.797770, -85.487902","Doyle, Tennessee","1,199"
317,38474,"35.517968, -87.226224","Mount Pleasant, Tennessee","7,044"
318,37052,"36.368892, -87.405159","Cunningham, Tennessee","2,535"
319,37324,"35.239373, -85.991204","Decherd, Tennessee","4,996"
320,38327,"35.240502, -88.289088","Crump, Tennessee",508
321,37809,"36.156247, -83.030688","Midway, Tennessee","2,098"
322,37826,"35.558727, -84.594197","Niota, Tennessee","3,607"
323,38015,"35.556935, -89.823415","Burlison, Tennessee","2,878"
324,37873,"36.526270, -82.843047","Surgoinsville, Tennessee","4,268"
